Filters
Region filter: All
Infection type filter: Bloodstream
Bacterial pathogen filter: Klebsiella pneumoniae
Antibiotic filter: Ciprofloxacin

Data for time series
"Year","Specimen","PathogenName","AbTargets","Min","Q1","Median","Q3","Max"
"IND","India","South-East Asia Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",41375,9011,6672,74.042836533
"IDN","Indonesia","South-East Asia Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",9180,2068,1372,66.344294004
"IRN","Iran (Islamic Republic of)","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2925,551,426,77.313974592
"JPN","Japan","Western Pacific Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",169604,20470,974,4.758182706
"JOR","Jordan","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",3297,308,173,56.168831169
"XKX","Kosovo","European Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",164,63,9,14.285714286
"LAO","Lao People's Democratic Republic","Western Pacific Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",605,92,18,19.565217391
"LBN","Lebanon","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",54,23,14,60.869565217
"MLI","Mali","African Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",275,27,13,48.148148148
"MLT","Malta","European Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",859,168,53,31.547619048
"MOZ","Mozambique","African Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",51,17,13,76.470588235
"NPL","Nepal","South-East Asia Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2740,424,271,63.91509434
"MKD","North Macedonia","European Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",283,93,35,37.634408602
"OMN","Oman","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",2586,575,268,46.608695652
"PAK","Pakistan","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",13338,2875,2139,74.4
"PHL","Philippines","Western Pacific Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",7705,1840,877,47.663043478
"KOR","Republic of Korea","Western Pacific Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",5416,1244,373,29.98392283
"RUS","Russian Federation","European Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",9671,3320,3028,91.204819277
"SAU","Saudi Arabia","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1927,529,306,57.844990548
"ZAF","South Africa","African Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",26026,6967,3205,46.002583608
"CHE","Switzerland","European Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",12511,1678,181,10.786650775
"THA","Thailand","South-East Asia Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",14722,2335,1071,45.867237687
"TUN","Tunisia","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",1332,379,203,53.562005277
"ARE","United Arab Emirates","Eastern Mediterranean Region",2023,"BLOOD","Klebsiella pneumoniae","Ciprofloxacin",3959,957,357,37.304075235
